aggregateSizeList1,aggregateSizeList2
10.18119168,Sa
8.49454848,Sa
6.47057664,Sa
16.00777728,Sa
7.9732224,Sa
9.26120448,Sa
5.9799168,Sa
6.62390784,Sa
9.966528,Sa
11.25451008,Sa
7.54389504,Sa
7.9732224,Sa
2.299968,Sa
12.63449088,Sa
11.59183872,Sa
5.33592576,Sa
5.79591936,Sa
21.52770048,Sa
5.9799168,Sa
1.50264576,Sa
7.32923136,Sa
6.86923776,Sa
15.0264576,Sa
19.56506112,Sa
6.56257536,Sa
5.70392064,Sa
13.37048064,Sa
17.44909056,Sa
7.08390144,Sa
17.75575296,Sa
16.31443968,Sa
6.34791168,Sa
5.09059584,Sa
9.59853312,Sa
2.88262656,Sa
4.04794368,Sa
5.91858432,Sa
2.63729664,Sa
13.58514432,Sa
1.71730944,Sa
3.71061504,Sa
9.44520192,Sa
4.66126848,Sa
9.56786688,Sa
7.69722624,Sa
5.30525952,Sa
3.00529152,Sa
3.25062144,Sa
3.77194752,Sa
8.49454848,Sa
12.48115968,Sa
2.39196672,Sa
8.61721344,Sa
3.15862272,Sa
6.25591296,Sa
3.83328,Sa
4.35460608,Sa
2.299968,Sa
6.77723904,Sa
8.80121088,Sa
8.95454208,Sa
2.97462528,Sa
5.79591936,Sa
5.30525952,Sa
6.93057024,Sa
10.39585536,Sa
53.66592,Sa
16.06910976,Sa
1.9933056,Sa
6.25591296,Sa
9.01587456,Sa
18.82907136,Sa
3.83328,Sa
23.18367744,Sa
0.49065984,Sa
0.3066624,Sa
8.49454848,Sa
5.8265856,Sa
11.00918016,Sa
3.12795648,Sa
13.61581056,Sa
3.12795648,Sa
11.28517632,Sa
12.75715584,Sa
1.56397824,Sa
7.69722624,Sa
5.91858432,Sa
8.64787968,Sa
6.96123648,Sa
5.85725184,Sa
11.1931776,Sa
6.65457408,Sa
2.48396544,Sa
6.133248,Sa
46.766016,Sa
5.24392704,Sa
56.4258816,Sa
5.8265856,Sa
6.53190912,Sa
5.61192192,Sa
2.26930176,Sa
16.46777088,Sa
1.77864192,Sa
5.366592,Sa
1.90130688,Sa
7.60522752,Sa
6.5932416,Sa
2.23863552,Sa
4.04794368,Sa
3.25062144,Sa
1.3799808,Sa
3.6799488,Sa
9.99719424,Sa
