0,0,0
0,0,1
21,0,2
246,0,3
2751,0,4
32911,749,5
96509,9611,6
1.7501e+05,39198,7
2.4174e+05,71693,8
2.9122e+05,1.0047e+05,9
3.54e+05,1.4061e+05,10
3.8252e+05,1.7956e+05,11
3.7912e+05,2.1007e+05,12
3.763e+05,2.287e+05,13
3.7565e+05,2.2953e+05,14
3.7175e+05,2.241e+05,15
3.6054e+05,2.1736e+05,16
3.5334e+05,2.1167e+05,17
3.4579e+05,2.0343e+05,18
3.3787e+05,1.9587e+05,19
3.3121e+05,1.8968e+05,20
3.2228e+05,1.8096e+05,21
3.0846e+05,1.7036e+05,22
2.9854e+05,1.6153e+05,23
2.8404e+05,1.5074e+05,24
2.7231e+05,1.4213e+05,25
2.626e+05,1.3429e+05,26
2.4892e+05,1.2398e+05,27
2.369e+05,1.1607e+05,28
2.23e+05,1.0791e+05,29
2.0862e+05,98694,30
1.9889e+05,91320,31
1.9156e+05,84969,32
1.7817e+05,76844,33
1.649e+05,70655,34
1.5271e+05,63144,35
1.4277e+05,55417,36
1.3466e+05,51014,37
1.247e+05,45965,38
1.1344e+05,39819,39
1.0497e+05,34525,40
95093,28944,41
88145,25045,42
84395,23021,43
75391,19145,44
67612,15763,45
61916,13131,46
53834,10036,47
49098,8331,48
45032,7201,49
40443,5351,50
36593,3999,51
32397,2706,52
29362,2178,53
27059,1654,54
24773,1337,55
22115,1044,56
20443,805,57
17912,627,58
16359,505,59
14335,349,60
13251,307,61
11014,168,62
10507,157,63
8613,71,64
7642,25,65
6824,10,66
5994,0,67
5396,12,68
4298,0,69
3554,0,70
2944,0,71
2594,0,72
2271,0,73
1771,0,74
1628,0,75
1429,0,76
1103,0,77
995,0,78
808,0,79
744,0,80
589,0,81
442,0,82
604,0,83
528,0,84
416,0,85
423,0,86
407,0,87
280,0,88
276,0,89
161,0,90
180,0,91
