0,0,0
0,0,1
178,32,2
1450,364,3
5359,2220,4
19191,11483,5
41745,25404,6
71322,42669,7
1.0656e+05,60129,8
1.298e+05,70138,9
1.5482e+05,80323,10
1.786e+05,88933,11
1.8576e+05,89081,12
1.8084e+05,83661,13
1.6929e+05,74172,14
1.5927e+05,67944,15
1.4405e+05,58663,16
1.2841e+05,50651,17
1.1569e+05,43125,18
1.009e+05,35812,19
90970,31306,20
83603,27378,21
72709,23647,22
61708,19585,23
52541,16673,24
45033,13510,25
39094,11199,26
33466,9501,27
26747,7247,28
21025,6272,29
16537,4470,30
13548,2943,31
11303,2632,32
8868,2094,33
6513,1954,34
5026,1414,35
3965,1264,36
2999,1148,37
2655,989,38
2017,674,39
1462,630,40
1211,394,41
1172,297,42
945,298,43
903,242,44
851,300,45
754,291,46
585,245,47
434,208,48
318,234,49
243,230,50
245,174,51
196,111,52
160,55,53
149,70,54
57,22,55
92,0,56
95,34,57
66,0,58
76,23,59
90,0,60
52,35,61
36,22,62
58,56,63
24,33,64
41,27,65
46,13,66
34,0,67
23,10,68
31,0,69
41,0,70
12,0,71
14,0,72
23,0,73
0,11,74
0,0,75
10,12,76
0,0,77
0,0,78
0,0,79
0,0,80
0,0,81
0,0,82
0,0,83
0,0,84
0,0,85
0,0,86
0,0,87
0,0,88
0,0,89
10,0,90
0,0,91
