aggregateSizeList1,aggregateSizeList2
103.06923264,Sa
13.86114048,Sa
8.61721344,Sa
9.8131968,Sa
15.39445248,Sa
124.90359552,Sa
24.41032704,Sa
21.9263616,Sa
10.36518912,Sa
0.36799488,Sa
0.4599936,Sa
37.47414528,Sa
11.22384384,Sa
1.96263936,Sa
30.57424128,Sa
99.54261504,Sa
2.51463168,Sa
422.45812224,Sa
15.91577856,Sa
174.92023296,Sa
2.11597056,Sa
6.68524032,Sa
31.06490112,Sa
16.74376704,Sa
201.1705344,Sa
2.42263296,Sa
26.9862912,Sa
42.44207616,Sa
5.24392704,Sa
5.94925056,Sa
3.83328,Sa
32.78221056,Sa
45.11003904,Sa
5.27459328,Sa
171.36294912,Sa
117.4516992,Sa
102.82390272,Sa
15.36378624,Sa
24.59432448,Sa
83.07484416,Sa
53.54325504,Sa
2.97462528,Sa
40.90876416,Sa
5.70392064,Sa
26.28096768,Sa
4.47727104,Sa
22.5396864,Sa
3.83328,Sa
160.8444288,Sa
10.61051904,Sa
2.6066304,Sa
0.42932736,Sa
61.9458048,Sa
1.2266496,Sa
14.65846272,Sa
24.50232576,Sa
72.31099392,Sa
0.33732864,Sa
0.49065984,Sa
0.4599936,Sa
78.99623424,Sa
22.47835392,Sa
11.22384384,Sa
4.4466048,Sa
30.91156992,Sa
135.51411456,Sa
91.72272384,Sa
317.5489152,Sa
0.39866112,Sa
10.48785408,Sa
38.67012864,Sa
171.30161664,Sa
2.48396544,Sa
0.36799488,Sa
8.52521472,Sa
17.60242176,Sa
10.5798528,Sa
21.68103168,Sa
86.3254656,Sa
0.33732864,Sa
76.2056064,Sa
0.42932736,Sa
39.52878336,Sa
3.71061504,Sa
640.28042496,Sa
7.72789248,Sa
6.07191552,Sa
22.26369024,Sa
0.3066624,Sa
53.88058368,Sa
2.11597056,Sa
7.88122368,Sa
39.59011584,Sa
3.77194752,Sa
7.60522752,Sa
16.52910336,Sa
2.57596416,Sa
4.41593856,Sa
1.0733184,Sa
28.09027584,Sa
18.7064064,Sa
186.26674176,Sa
17.90908416,Sa
3.80261376,Sa
1.0733184,Sa
4.4466048,Sa
9.07720704,Sa
11.22384384,Sa
2.88262656,Sa
27.81427968,Sa
21.40503552,Sa
20.30105088,Sa
34.40752128,Sa
15.30245376,Sa
15.54778368,Sa
5.39725824,Sa
6.22524672,Sa
7.57456128,Sa
4.35460608,Sa
2.57596416,Sa
2.39196672,Sa
0.3066624,Sa
202.61184768,Sa
1.41064704,Sa
7.45189632,Sa
39.43678464,Sa
3.066624,Sa
0.42932736,Sa
32.3528832,Sa
2.39196672,Sa
3.09729024,Sa
21.09837312,Sa
11.07051264,Sa
3.25062144,Sa
7.8198912,Sa
3.61861632,Sa
37.2594816,Sa
49.58731008,Sa
3.58795008,Sa
3.00529152,Sa
0.33732864,Sa
51.9792768,Sa
17.60242176,Sa
200.58787584,Sa
0.3066624,Sa
12.4198272,Sa
3.40395264,Sa
13.55447808,Sa
0.4599936,Sa
0.49065984,Sa
5.73458688,Sa
0.39866112,Sa
35.32750848,Sa
4.17060864,Sa
26.40363264,Sa
161.24308992,Sa
4.78393344,Sa
121.80630528,Sa
12.84915456,Sa
0.766656,Sa
73.50697728,Sa
5.02926336,Sa
5.30525952,Sa
3.55728384,Sa
17.9397504,Sa
109.69314048,Sa
4.78393344,Sa
0.3066624,Sa
2.79062784,Sa
3.55728384,Sa
5.94925056,Sa
413.6875776,Sa
2.48396544,Sa
3.71061504,Sa
1.77864192,Sa
2.69862912,Sa
8.98520832,Sa
25.63697664,Sa
9.59853312,Sa
112.36110336,Sa
13.09448448,Sa
15.0264576,Sa
41.98208256,Sa
8.83187712,Sa
69.3057024,Sa
27.07828992,Sa
25.36098048,Sa
0.766656,Sa
3.066624,Sa
0.36799488,Sa
227.35950336,Sa
0.3066624,Sa
36.83015424,Sa
5.76525312,Sa
0.67465728,Sa
6.99190272,Sa
5.73458688,Sa
78.5055744,Sa
0.33732864,Sa
30.9729024,Sa
11.22384384,Sa
1.533312,Sa
6.77723904,Sa
0.55199232,Sa
8.40254976,Sa
7.57456128,Sa
11.83716864,Sa
5.91858432,Sa
8.61721344,Sa
0.3066624,Sa
9.75186432,Sa
14.78112768,Sa
12.91048704,Sa
0.73598976,Sa
1.80930816,Sa
0.49065984,Sa
0.73598976,Sa
19.35039744,Sa
9.10787328,Sa
2.02397184,Sa
1359.46508544,Sa
25.88230656,Sa
2.48396544,Sa
2.23863552,Sa
1.44131328,Sa
2.11597056,Sa
12.78782208,Sa
1.2266496,Sa
12.32782848,Sa
2.42263296,Sa
2.33063424,Sa
7.69722624,Sa
5.2132608,Sa
8.8932096,Sa
0.3066624,Sa
1.65597696,Sa
0.98131968,Sa
14.90379264,Sa
3.95594496,Sa
134.6247936,Sa
6.31724544,Sa
10.733184,Sa
10.39585536,Sa
17.72508672,Sa
24.93165312,Sa
15.70111488,Sa
2.08530432,Sa
5.70392064,Sa
3.9866112,Sa
5.79591936,Sa
123.79961088,Sa
3.09729024,Sa
4.35460608,Sa
0.36799488,Sa
0.79732224,Sa
0.3066624,Sa
5.73458688,Sa
1.47197952,Sa
1.62531072,Sa
1.2266496,Sa
4.1399424,Sa
0.42932736,Sa
13.83047424,Sa
0.4599936,Sa
10.54918656,Sa
109.69314048,Sa
19.41172992,Sa
23.82766848,Sa
2.05463808,Sa
35.20484352,Sa
13.24781568,Sa
12.84915456,Sa
8.64787968,Sa
3.15862272,Sa
0.42932736,Sa
0.36799488,Sa
49.5259776,Sa
4.38527232,Sa
17.23442688,Sa
1.59464448,Sa
5.88791808,Sa
8.1265536,Sa
57.83652864,Sa
16.46777088,Sa
86.11080192,Sa
3.64928256,Sa
6.34791168,Sa
2.17730304,Sa
0.82798848,Sa
40.11144192,Sa
27.10895616,Sa
0.55199232,Sa
0.52132608,Sa
21.1597056,Sa
36.6461568,Sa
2.97462528,Sa
1.6866432,Sa
44.28205056,Sa
8.46388224,Sa
0.67465728,Sa
2.57596416,Sa
5.366592,Sa
4.50793728,Sa
3.64928256,Sa
0.39866112,Sa
15.45578496,Sa
10.54918656,Sa
7.9732224,Sa
1.6866432,Sa
7.88122368,Sa
5.12126208,Sa
1.77864192,Sa
0.55199232,Sa
1.44131328,Sa
0.3066624,Sa
1.34931456,Sa
0.36799488,Sa
1.9933056,Sa
1.13465088,Sa
10.02786048,Sa
2.39196672,Sa
0.39866112,Sa
7.63589376,Sa
86.23346688,Sa
16.65176832,Sa
21.80369664,Sa
58.63385088,Sa
1.41064704,Sa
2.82129408,Sa
47.6860032,Sa
0.85865472,Sa
12.60382464,Sa
31.06490112,Sa
9.966528,Sa
7.45189632,Sa
3.18928896,Sa
0.82798848,Sa
11.92916736,Sa
0.52132608,Sa
2.1466368,Sa
19.0130688,Sa
4.20127488,Sa
0.33732864,Sa
47.28734208,Sa
0.33732864,Sa
8.67854592,Sa
3.9866112,Sa
15.0264576,Sa
15.85444608,Sa
11.43850752,Sa
4.41593856,Sa
2.85196032,Sa
35.94083328,Sa
4.7532672,Sa
4.84526592,Sa
14.07580416,Sa
0.39866112,Sa
2.4532992,Sa
3.43461888,Sa
5.18259456,Sa
2.08530432,Sa
2.97462528,Sa
5.02926336,Sa
1.41064704,Sa
107.88383232,Sa
2.36130048,Sa
9.59853312,Sa
7.78922496,Sa
2.94395904,Sa
20.60771328,Sa
3.25062144,Sa
31.70889216,Sa
33.48753408,Sa
2.72929536,Sa
2.9132928,Sa
3.92527872,Sa
49.9859712,Sa
27.20095488,Sa
4.84526592,Sa
1.41064704,Sa
12.75715584,Sa
7.17590016,Sa
0.42932736,Sa
1.77864192,Sa
0.85865472,Sa
0.3066624,Sa
36.00216576,Sa
4.81459968,Sa
3.34262016,Sa
7.69722624,Sa
1.9933056,Sa
0.3066624,Sa
16.46777088,Sa
1.8399744,Sa
0.766656,Sa
2.72929536,Sa
4.35460608,Sa
34.16219136,Sa
67.68039168,Sa
0.33732864,Sa
0.33732864,Sa
1.28798208,Sa
1.2266496,Sa
8.06522112,Sa
12.60382464,Sa
1.65597696,Sa
2.08530432,Sa
82.24685568,Sa
0.42932736,Sa
0.3066624,Sa
0.33732864,Sa
21.06770688,Sa
4.38527232,Sa
5.9799168,Sa
2.4532992,Sa
0.39866112,Sa
5.30525952,Sa
0.67465728,Sa
46.21402368,Sa
0.88932096,Sa
8.95454208,Sa
3.09729024,Sa
5.64258816,Sa
22.233024,Sa
1.93197312,Sa
101.93458176,Sa
6.53190912,Sa
0.64399104,Sa
75.22428672,Sa
10.05852672,Sa
0.33732864,Sa
13.89180672,Sa
3.58795008,Sa
0.33732864,Sa
1.533312,Sa
139.80738816,Sa
83.90283264,Sa
0.36799488,Sa
17.54108928,Sa
2.63729664,Sa
0.3066624,Sa
72.58699008,Sa
0.79732224,Sa
25.85164032,Sa
1.41064704,Sa
