aggregateSizeList1,aggregateSizeList2
98.65329408,Sa
111.0117888,Sa
13.4931456,Sa
2.54529792,Sa
197.3372544,Sa
43.76072448,Sa
17.3264256,Sa
59.6458368,Sa
13.86114048,Sa
7.63589376,Sa
41.00076288,Sa
13.86114048,Sa
20.63837952,Sa
4.9065984,Sa
117.85036032,Sa
50.9059584,Sa
876.96246528,Sa
45.04870656,Sa
0.88932096,Sa
175.19622912,Sa
7.85055744,Sa
20.17838592,Sa
24.56365824,Sa
50.2926336,Sa
39.4061184,Sa
29.25559296,Sa
0.39866112,Sa
0.36799488,Sa
2.33063424,Sa
18.27707904,Sa
11.99049984,Sa
2.69862912,Sa
0.33732864,Sa
1.01198592,Sa
1.13465088,Sa
0.98131968,Sa
6.80790528,Sa
26.77162752,Sa
11.43850752,Sa
2.08530432,Sa
19.7797248,Sa
28.366272,Sa
0.36799488,Sa
17.9397504,Sa
10.02786048,Sa
29.19426048,Sa
62.58979584,Sa
24.04233216,Sa
19.50372864,Sa
7.17590016,Sa
0.39866112,Sa
14.47446528,Sa
38.21013504,Sa
2.08530432,Sa
20.48504832,Sa
15.51711744,Sa
0.42932736,Sa
11.00918016,Sa
6.7465728,Sa
44.49671424,Sa
125.54758656,Sa
0.33732864,Sa
32.69021184,Sa
31.5862272,Sa
172.89626112,Sa
16.46777088,Sa
65.87108352,Sa
11.1931776,Sa
0.58265856,Sa
14.44379904,Sa
21.83436288,Sa
12.51182592,Sa
72.31099392,Sa
8.09588736,Sa
190.34535168,Sa
12.78782208,Sa
38.73146112,Sa
16.19177472,Sa
64.79776512,Sa
19.933056,Sa
7.5132288,Sa
29.16359424,Sa
0.33732864,Sa
3.09729024,Sa
41.46075648,Sa
90.49607424,Sa
40.23410688,Sa
8.2798848,Sa
18.33841152,Sa
371.30683392,Sa
24.13433088,Sa
38.08747008,Sa
15.05712384,Sa
10.1198592,Sa
2.11597056,Sa
17.72508672,Sa
0.33732864,Sa
14.01447168,Sa
126.92756736,Sa
14.7197952,Sa
7.02256896,Sa
0.3066624,Sa
102.05724672,Sa
471.92276736,Sa
19.84105728,Sa
11.16251136,Sa
9.10787328,Sa
47.47133952,Sa
358.21234944,Sa
18.399744,Sa
10.30385664,Sa
113.83308288,Sa
224.41554432,Sa
235.45539072,Sa
0.52132608,Sa
7.29856512,Sa
253.18047744,Sa
65.34975744,Sa
0.67465728,Sa
7.2065664,Sa
74.58029568,Sa
27.66094848,Sa
0.70532352,Sa
223.77155328,Sa
11.10117888,Sa
71.54433792,Sa
281.14808832,Sa
49.34198016,Sa
182.0041344,Sa
40.0194432,Sa
1.65597696,Sa
0.55199232,Sa
19.96372224,Sa
36.43149312,Sa
10.70251776,Sa
39.62078208,Sa
12.1131648,Sa
3.49595136,Sa
2.4532992,Sa
53.32859136,Sa
9.26120448,Sa
1.56397824,Sa
66.48440832,Sa
4.87593216,Sa
82.76818176,Sa
4.81459968,Sa
9.13853952,Sa
251.34050304,Sa
9.29187072,Sa
22.87701504,Sa
1.50264576,Sa
12.66515712,Sa
0.3066624,Sa
9.84386304,Sa
7.75855872,Sa
0.3066624,Sa
0.3066624,Sa
13.55447808,Sa
0.33732864,Sa
88.65609984,Sa
28.9795968,Sa
0.64399104,Sa
0.79732224,Sa
8.06522112,Sa
68.17105152,Sa
23.49033984,Sa
4.38527232,Sa
2.05463808,Sa
13.37048064,Sa
87.61344768,Sa
8.46388224,Sa
43.33139712,Sa
6.65457408,Sa
1.2266496,Sa
17.72508672,Sa
0.36799488,Sa
6.31724544,Sa
47.31800832,Sa
4.2932736,Sa
5.15192832,Sa
0.39866112,Sa
0.6133248,Sa
7.57456128,Sa
3.28128768,Sa
135.94344192,Sa
86.26413312,Sa
8.52521472,Sa
0.3066624,Sa
7.42123008,Sa
23.4596736,Sa
10.70251776,Sa
6.31724544,Sa
95.61733632,Sa
5.91858432,Sa
0.70532352,Sa
3.95594496,Sa
24.71698944,Sa
21.03704064,Sa
12.05183232,Sa
6.68524032,Sa
1.25731584,Sa
11.31584256,Sa
1.65597696,Sa
8.24921856,Sa
9.47586816,Sa
21.19037184,Sa
0.98131968,Sa
0.3066624,Sa
13.55447808,Sa
14.19846912,Sa
0.95065344,Sa
127.63289088,Sa
0.4599936,Sa
86.66279424,Sa
0.73598976,Sa
20.76104448,Sa
18.8597376,Sa
2.05463808,Sa
1.25731584,Sa
78.41357568,Sa
0.52132608,Sa
10.76385024,Sa
61.4858112,Sa
3.86394624,Sa
17.90908416,Sa
20.3930496,Sa
0.4599936,Sa
7.85055744,Sa
17.08109568,Sa
8.61721344,Sa
1.90130688,Sa
7.11456768,Sa
15.08779008,Sa
1173.99566592,Sa
154.5578496,Sa
79.51756032,Sa
7.57456128,Sa
0.4599936,Sa
1.13465088,Sa
21.71169792,Sa
64.06177536,Sa
13.92247296,Sa
16.2531072,Sa
58.97117952,Sa
19.35039744,Sa
3.46528512,Sa
42.04341504,Sa
2.85196032,Sa
20.66904576,Sa
10.18119168,Sa
40.3261056,Sa
18.15441408,Sa
0.3066624,Sa
15.54778368,Sa
126.49824,Sa
8.1265536,Sa
2.17730304,Sa
8.77054464,Sa
24.13433088,Sa
41.79808512,Sa
9.13853952,Sa
10.1198592,Sa
56.39521536,Sa
42.53407488,Sa
13.76914176,Sa
288.96797952,Sa
80.9588736,Sa
7.11456768,Sa
32.8128768,Sa
11.28517632,Sa
23.73566976,Sa
54.00324864,Sa
2.39196672,Sa
12.63449088,Sa
4.72260096,Sa
84.20949504,Sa
179.36683776,Sa
0.33732864,Sa
48.32999424,Sa
1.65597696,Sa
1.71730944,Sa
14.47446528,Sa
0.49065984,Sa
27.4462848,Sa
7.11456768,Sa
7.48256256,Sa
161.88708096,Sa
0.79732224,Sa
8.15721984,Sa
1.56397824,Sa
0.33732864,Sa
0.73598976,Sa
44.0060544,Sa
3.74128128,Sa
6.56257536,Sa
2.51463168,Sa
3.40395264,Sa
7.08390144,Sa
37.7194752,Sa
8.00388864,Sa
168.90964992,Sa
0.36799488,Sa
1.90130688,Sa
18.76773888,Sa
7.02256896,Sa
48.78998784,Sa
3.61861632,Sa
18.21574656,Sa
17.14242816,Sa
45.60069888,Sa
26.34230016,Sa
41.67542016,Sa
3.61861632,Sa
25.69830912,Sa
2.39196672,Sa
25.54497792,Sa
0.42932736,Sa
11.49984,Sa
269.15758848,Sa
5.2132608,Sa
6.2865792,Sa
58.75651584,Sa
2.299968,Sa
