2.5667e+05,0.97913,0,5,252,0,0.0039216,0,0,0.16608,0.021652,0.15105,1,0,0,3,0
2.5669e+05,0.97918,0,13,243,0.0039216,0.0078431,1,1,0.1491,0.044102,0.3603,2,0,0,3,0
2.5857e+05,0.98637,0,5,252,0,0.0039216,0,0,0.10857,0.014076,0.12185,1,0,0,3,1
2.5718e+05,0.98108,0,12,245,0.0039216,0.0078431,0,0,0.13537,0.040237,0.34436,2,0,0,3,1
2.5269e+05,0.96395,0,6,251,0,0.0039216,0,0,0.28624,0.038074,0.20225,1,0,0,3,2
2.5523e+05,0.97363,0,13,243,0.0039216,0.0078431,1,1,0.18886,0.055672,0.40156,2,0,0,3,2
2.5388e+05,0.96846,0,6,251,0,0.0039216,0,0,0.25041,0.03336,0.19012,1,0,0,3,3
2.5588e+05,0.97609,0,12,243,0.0039216,0.0078431,2,2,0.1714,0.050323,0.38338,2,0,0,3,3
2.5373e+05,0.96791,0,5,252,0,0.0039216,0,0,0.25579,0.032875,0.18279,1,0,1,3,0
2.5682e+05,0.97968,0,13,244,0.0039216,0.0078431,0,0,0.14551,0.042843,0.3513,2,0,1,3,0
2.5654e+05,0.97861,0,6,251,0,0.0039216,0,0,0.17056,0.021824,0.14918,1,0,1,3,1
2.5742e+05,0.98196,0,13,244,0.0039216,0.0078431,0,0,0.1294,0.037769,0.33094,2,0,1,3,1
2.5159e+05,0.95973,0,5,252,0,0.0039216,0,0,0.32018,0.042034,0.20967,1,0,1,3,2
2.5602e+05,0.97663,0,13,243,0.0039216,0.0078431,1,1,0.16746,0.049381,0.38031,2,0,1,3,2
2.528e+05,0.96435,0,6,251,0,0.0039216,0,0,0.28369,0.03698,0.19613,1,0,1,3,3
2.5576e+05,0.97563,0,12,245,0.0039216,0.0078431,0,0,0.17416,0.051994,0.39022,2,0,1,3,3
2.5372e+05,0.96785,0,6,251,0,0.0039216,0,0,0.25632,0.032898,0.18262,1,0,2,3,0
2.5366e+05,0.96762,0,12,244,0.0039216,0.0078431,1,1,0.23206,0.068104,0.44289,2,0,2,3,0
2.5489e+05,0.97234,0,5,252,0,0.0039216,0,0,0.2206,0.02816,0.16854,1,0,2,3,1
2.5436e+05,0.97031,0,12,243,0.0039216,0.0078431,2,3,0.21265,0.062988,0.43059,2,0,2,3,1
2.5076e+05,0.95659,0,6,251,0,0.0039216,0,0,0.3454,0.045048,0.21542,1,0,2,3,2
2.5108e+05,0.95781,0,12,242,0.0039216,0.011765,3,4,0.30191,0.089752,0.51126,2,0,2,3,2
2.5151e+05,0.95942,0,5,251,0,0.0039216,1,1,0.32336,0.041714,0.21022,1,0,2,3,3
2.5148e+05,0.95934,0,12,245,0.0039216,0.011765,0,0,0.29038,0.087559,0.50815,2,0,2,3,3
2.5304e+05,0.96526,0,5,252,0,0.0039216,0,0,0.27705,0.035461,0.18884,1,0,3,3,0
2.4908e+05,0.95015,0,14,242,0.0039216,0.011765,1,1,0.35567,0.10769,0.56421,2,0,3,3,0
2.5464e+05,0.97138,0,5,251,0,0.0039216,1,1,0.22829,0.029125,0.17142,1,0,3,3,1
