"","Distance","MeanCounts","MeanBinDensity","MeanTotalDensity","MeanPropOcc","SDPropOcc","source","TimePoint","Position"
"1",0.5,42.2,0.00610943155678578,2.51061495456903e-05,0.308947277073284,0.169784152721359,"finalGG",0,2
"2",1.5,113.3,0.0154463478876228,6.32632630855657e-05,0.118855542499296,0.120627769592678,"finalGG",0,2
"3",2.5,92.12,0.0129186541405173,5.52245409899381e-05,0.0366916350987513,0.0338609066188314,"finalGG",0,2
"4",3.5,90.84,0.0139341662333539,5.8704013349767e-05,0.0197121016555407,0.0177874721479497,"finalGG",0,2
"5",4.5,94.82,0.0140271240136891,5.96520178096776e-05,0.0133223014225086,0.0124354067025497,"finalGG",0,2
"6",5.5,114.94,0.0166297186326756,7.1031230209855e-05,0.0116223753840653,0.0092466891817644,"finalGG",0,2
"7",6.5,129.24,0.0184870091423317,7.35074415598951e-05,0.00976598037288094,0.00720117022687225,"finalGG",0,2
"8",7.5,129.08,0.0177116540390224,6.91416206184141e-05,0.00752802186446985,0.00531268356774043,"finalGG",0,2
"9",8.5,131.68,0.0168462153598615,6.71437451245018e-05,0.0062612067156293,0.00605336770116159,"finalGG",0,2
"10",9.5,148.82,0.0186206645228425,7.45603699616694e-05,0.00591375755117328,0.00480141056824024,"finalGG",0,2
"11",10.5,164.9,0.0215276528556765,8.33084447989015e-05,0.00559174759021196,0.00379419263473863,"finalGG",0,2
"12",11.5,176.62,0.0236793078369617,9.43094002577583e-05,0.0053083078442904,0.00355201534626724,"finalGG",0,2
"13",12.5,214.86,0.0290644425352108,0.000116974369839678,0.00571229166318666,0.00351482713305283,"finalGG",0,2
"14",13.5,251.98,0.0330172450551079,0.000133877922190965,0.00589164401700964,0.00332212457532961,"finalGG",0,2
"15",14.5,265.9,0.0335617959608714,0.000135513154445786,0.00541816928280237,0.00365303781611931,"finalGG",0,2
"16",15.5,269.14,0.0342343779546735,0.00014725363302284,0.00519880011924273,0.00403963332615089,"finalGG",0,2
"17",16.5,273.84,0.0357291988518025,0.000144209638603212,0.00465615128686932,0.00268312681217552,"finalGG",0,2
"18",17.5,269.6,0.0368415080525072,0.000151814690043462,0.00442248092286113,0.00311212358844974,"finalGG",0,2
"19",18.5,305.44,0.0410949160351933,0.000167257410401521,0.00448144555234814,0.00315391266499778,"finalGG",0,2
"20",19.5,338.88,0.0450649550602883,0.000179499053162055,0.0044272020098122,0.00246862934070435,"finalGG",0,2
"21",20.5,364.16,0.0467271883708178,0.000186058082662947,0.00425296549627051,0.00254636068265633,"finalGG",0,2
"22",21.5,384.44,0.0500968738811188,0.000207130032704935,0.00440445125580471,0.00367095851025463,"finalGG",0,2
"23",22.5,367.5,0.0474905396831222,0.000199755918735124,0.00396152335028473,0.00379616564482608,"finalGG",0,2
"24",23.5,349.72,0.0452717355092531,0.000180122343753987,0.00331984584632753,0.002403092285443,"finalGG",0,2
"25",24.5,354.42,0.0460835626275481,0.000189445674867038,0.00329087236605798,0.00323274227301099,"finalGG",0,2
"26",25.5,408.78,0.0526196783033902,0.000227043588772878,0.00373907321511652,0.00352726480624136,"finalGG",0,2
"27",26.5,398.24,0.0510858194702417,0.000214090232351238,0.00329511104151316,0.00247833189608844,"finalGG",0,2
"28",27.5,399.8,0.0534245884674487,0.000227324475562841,0.00336098249939661,0.00285149211802805,"finalGG",0,2
"29",28.5,424.4,0.0575166196193627,0.000245366453108799,0.00346505754499393,0.00320731496309997,"finalGG",0,2
"30",29.5,449.18,0.0596575465827176,0.000250862047288987,0.00333389439299159,0.00285178316160571,"finalGG",0,2
"31",30.5,41.4,0.00547946175798319,2.29401814872566e-05,0.000291371140069298,0.000286203302743465,"finalGG",0,2
"32",0.5,0.7,7.21470908027189e-05,3.01109192296186e-07,0.00512471786614453,0.0252851851831706,"finalRG",0,2
"33",1.5,9.62,0.00106930242902287,4.25917785799739e-06,0.0100611807902674,0.030509304519666,"finalRG",0,2
"34",2.5,29.06,0.00335694350106783,1.31664883112571e-05,0.0114648597635827,0.0272604539815149,"finalRG",0,2
"35",3.5,35.12,0.00440326506812341,1.58112341683044e-05,0.00737826871680698,0.0123230356484648,"finalRG",0,2
"36",4.5,55.78,0.00781786183803418,2.64163839572295e-05,0.00769007592420603,0.0101018219359114,"finalRG",0,2
"37",5.5,55.16,0.007627403924254,2.61939556617319e-05,0.00537830650992897,0.00576911685992496,"finalRG",0,2
"38",6.5,77.54,0.0102210945180477,3.55942152743214e-05,0.00560669739417324,0.00645892737171081,"finalRG",0,2
"39",7.5,95.4,0.0125174829092024,4.53534242434608e-05,0.00538607701285791,0.00621866887682994,"finalRG",0,2
"40",8.5,107.82,0.0144234659561507,5.17129026354236e-05,0.00497321830427491,0.00628713445970622,"finalRG",0,2
"41",9.5,129.96,0.0178478999673631,6.06154510532795e-05,0.00495770866791396,0.00446139852303076,"finalRG",0,2
"42",10.5,160.64,0.0225205761866791,7.4157028190533e-05,0.00508022800124044,0.00417483092522133,"finalRG",0,2
"43",11.5,191.4,0.0258044226384194,8.77538796920067e-05,0.00515954767541959,0.00446029268054759,"finalRG",0,2
"44",12.5,227.82,0.029961440161378,0.000102224259204363,0.00520230847178949,0.00437169168052703,"finalRG",0,2
"45",13.5,256.36,0.0330356323300956,0.000115116075744017,0.00513412772870856,0.00398618163788885,"finalRG",0,2
"46",14.5,292.38,0.0371012955991276,0.000132914086731682,0.00521658050637902,0.00420192564924728,"finalRG",0,2
"47",15.5,305.96,0.0387001563167603,0.000133879343497708,0.00479795859926235,0.00328246776334286,"finalRG",0,2
"48",16.5,286.92,0.0375065072663474,0.000124361498519254,0.00400316371923296,0.00255499364332743,"finalRG",0,2
"49",17.5,277.14,0.0367343893646738,0.000122970939565391,0.0035769890303733,0.00227431394592217,"finalRG",0,2
"50",18.5,331.7,0.0442578227775893,0.000148903063165268,0.00393869565100654,0.00244487336844965,"finalRG",0,2
"51",19.5,331.56,0.0442731560789756,0.000148327179267903,0.00359872933519421,0.0020888968976373,"finalRG",0,2
"52",20.5,328.1,0.0438844393110722,0.000146149062645149,0.00326829633007901,0.00150195100017496,"finalRG",0,2
"53",21.5,336.06,0.0453328250286127,0.000149512977500356,0.00309349981181658,0.00182678792804932,"finalRG",0,2
"54",22.5,362.62,0.0479226226151998,0.000161660164782044,0.00310216384970885,0.00191880635311366,"finalRG",0,2
"55",23.5,426.74,0.0566964251428596,0.000186208532685216,0.00332128315037485,0.00171147452693517,"finalRG",0,2
"56",24.5,444.78,0.0582100867353432,0.000189972890768009,0.00315196148224872,0.00159949990898021,"finalRG",0,2
"57",25.5,447.62,0.0588527761446448,0.000191798248178842,0.002991580297701,0.00136391904572231,"finalRG",0,2
"58",26.5,450.66,0.0587330185716458,0.000193894360377311,0.00285490276235804,0.00134857230086009,"finalRG",0,2
"59",27.5,469.5,0.0616758583796811,0.00020562864877889,0.00288573113481191,0.00150730207315392,"finalRG",0,2
"60",28.5,494.48,0.0665603613188865,0.000218563658109655,0.00292376676543773,0.00143684268828887,"finalRG",0,2
"61",29.5,504.76,0.0671255458544029,0.000226122751795929,0.00289184621175301,0.00177465653507786,"finalRG",0,2
"62",30.5,43.1,0.00575377497553628,1.93929583570087e-05,0.000239024628953533,0.000168994019224453,"finalRG",0,2
