"","Distance","MeanCounts","MeanBinDensity","MeanTotalDensity","MeanPropOcc","SDPropOcc","source","TimePoint","Position"
"1",0.5,42.382,0.00588232062438197,2.70359591536213e-05,0.312045183206581,0.174251096004272,"finalGG",0,2
"2",1.5,110.1152,0.014860674618991,7.06313859302716e-05,0.117438781239353,0.0908809584058099,"finalGG",0,2
"3",2.5,117.4742,0.0152167807286453,7.51185314777108e-05,0.0477786438526199,0.0493682899160624,"finalGG",0,2
"4",3.5,121.9442,0.0156509392398309,7.65175652498275e-05,0.0269800471749286,0.0286231523949765,"finalGG",0,2
"5",4.5,129.4644,0.0165588602580993,7.97814749369744e-05,0.0185645791555334,0.0189227441275197,"finalGG",0,2
"6",5.5,137.1942,0.0175130152305726,8.30632337162354e-05,0.0141489509844342,0.0136401616053825,"finalGG",0,2
"7",6.5,140.026,0.0180137094559296,8.35345865007636e-05,0.0111249856957561,0.0101795620982151,"finalGG",0,2
"8",7.5,144.945,0.0187475485915913,8.6065777929809e-05,0.00924156328175786,0.00843535302964884,"finalGG",0,2
"9",8.5,154.7934,0.0199660629093814,9.19687730166292e-05,0.00808408423493864,0.00734274092607485,"finalGG",0,2
"10",9.5,169.0226,0.0216856483899387,0.000100335830120376,0.00737180945244766,0.00707536521151923,"finalGG",0,2
"11",10.5,182.9278,0.0232483884499814,0.000107772312303493,0.0067842958004026,0.00629809848552483,"finalGG",0,2
"12",11.5,200.7996,0.0255679096783927,0.000118321494568832,0.00647253916612657,0.00612220910611631,"finalGG",0,2
"13",12.5,214.171,0.0274229860163232,0.000127231210834821,0.00609881408363121,0.00605465153513922,"finalGG",0,2
"14",13.5,230.0388,0.0293310156180151,0.000137457128611154,0.00584477009044805,0.00606270182785045,"finalGG",0,2
"15",14.5,250.5718,0.0318529994437104,0.000150759156496338,0.00572680343100816,0.00603732974454229,"finalGG",0,2
"16",15.5,266.421,0.0337242539453745,0.000158220572609761,0.00543863571925806,0.00563728056219866,"finalGG",0,2
"17",16.5,280.0562,0.0351935222575372,0.00016316141993462,0.00511228312309081,0.00482820815778308,"finalGG",0,2
"18",17.5,294.0292,0.0367541809555914,0.000170202772128209,0.00488311373764433,0.00459914385841101,"finalGG",0,2
"19",18.5,307.5264,0.0385854995603493,0.000176540895125344,0.00466224896545974,0.00411921608054741,"finalGG",0,2
"20",19.5,329.8692,0.0414537116189726,0.000189629912527607,0.00463085178558404,0.00418658685137069,"finalGG",0,2
"21",20.5,341.9392,0.0429051939164577,0.000194245951564878,0.00440365445268846,0.00380387713088703,"finalGG",0,2
"22",21.5,350.4802,0.0440861379666854,0.000198176508141609,0.00418486671109165,0.00356708531693235,"finalGG",0,2
"23",22.5,358.5544,0.0450743355340212,0.000203148863728685,0.00401360948979344,0.00343981628988978,"finalGG",0,2
"24",23.5,377.1932,0.0472112324318631,0.000214418866103506,0.00397660801584,0.00376233992949908,"finalGG",0,2
"25",24.5,390.7374,0.0489720194874,0.000221090917683024,0.00385750950174697,0.00363159012139156,"finalGG",0,2
"26",25.5,408.4126,0.0513014571207462,0.000228844805756985,0.00376230873948759,0.0033619943016522,"finalGG",0,2
"27",26.5,423.8182,0.0534045709684282,0.000236395090879151,0.00367180444437195,0.00312840416096571,"finalGG",0,2
"28",27.5,437.217730638383,0.0555675314323937,0.000244751132862684,0.00360676578308917,0.00313468910774983,"finalGG",0,2
"29",28.5,455.460152182619,0.0580063342566363,0.000251573023498668,0.0035096445046961,0.00294845462259963,"finalGG",0,2
"30",29.5,477.395712282108,0.0609287986838442,0.00026129231770892,0.00346192497095955,0.00285076036476371,"finalGG",0,2
"31",30.5,43.3818913480885,0.0055583305508178,2.3538929476158e-05,0.000298808700477089,0.000248361978204539,"finalGG",0,2
"32",0.5,1.7242,0.000190835083867977,8.68869209884255e-07,0.0126229122068663,0.0811824579820818,"finalRG",0,2
"33",1.5,11.2276,0.00130858466765274,5.62502867144866e-06,0.0117589881628714,0.0517932017575723,"finalRG",0,2
"34",2.5,26.3064,0.003341067683689,1.36418648757621e-05,0.010279841531894,0.0254314019172624,"finalRG",0,2
"35",3.5,42.7068,0.00580750787222815,2.4962723341795e-05,0.00904111144388462,0.0174992968122789,"finalRG",0,2
"36",4.5,66.9542,0.0093439678111881,4.03663208878829e-05,0.00934579540328493,0.0167809962661528,"finalRG",0,2
"37",5.5,93.1114,0.0128674415815961,5.28741461489695e-05,0.00920542579501658,0.0138235510146895,"finalRG",0,2
"38",6.5,109.1614,0.0151579564308992,6.03218798134261e-05,0.00809552417867693,0.0100965114228574,"finalRG",0,2
"39",7.5,122.3278,0.0171547508502342,6.62756562477797e-05,0.00705566411804319,0.00787347868846688,"finalRG",0,2
"40",8.5,142.309,0.0201256726971037,7.50853828288103e-05,0.00659029130484901,0.00697295557155087,"finalRG",0,2
