aggregateSizeList1,aggregateSizeList2
37.1061504,Sa
44.80337664,Sa
31.03423488,Sa
31.95422208,Sa
0.82798848,Sa
13.799808,Sa
115.73438976,Sa
17.69442048,Sa
102.5785728,Sa
45.57003264,Sa
46.82734848,Sa
58.05119232,Sa
6.899904,Sa
29.53158912,Sa
54.46324224,Sa
37.62747648,Sa
16.7131008,Sa
37.50481152,Sa
17.69442048,Sa
39.83544576,Sa
11.59183872,Sa
11.53050624,Sa
13.76914176,Sa
52.86859776,Sa
44.80337664,Sa
0.73598976,Sa
10.5798528,Sa
42.65673984,Sa
35.94083328,Sa
9.29187072,Sa
28.94893056,Sa
44.49671424,Sa
88.04277504,Sa
34.07019264,Sa
59.52317184,Sa
17.57175552,Sa
38.3328,Sa
49.80197376,Sa
25.72897536,Sa
85.28281344,Sa
31.24889856,Sa
182.80145664,Sa
39.46745088,Sa
94.94267904,Sa
61.88447232,Sa
35.78750208,Sa
32.53688064,Sa
7.23723264,Sa
5.15192832,Sa
1.8399744,Sa
3.43461888,Sa
8.1265536,Sa
4.87593216,Sa
0.9199872,Sa
0.39866112,Sa
38.1794688,Sa
11.0398464,Sa
0.4599936,Sa
33.94752768,Sa
77.98424832,Sa
12.91048704,Sa
3.34262016,Sa
27.66094848,Sa
16.77443328,Sa
3.25062144,Sa
12.63449088,Sa
11.89850112,Sa
56.732544,Sa
0.73598976,Sa
17.84775168,Sa
14.13713664,Sa
2.36130048,Sa
102.60923904,Sa
91.35472896,Sa
37.78080768,Sa
0.3066624,Sa
12.91048704,Sa
0.3066624,Sa
14.44379904,Sa
3.066624,Sa
10.94784768,Sa
0.33732864,Sa
0.36799488,Sa
45.20203776,Sa
13.37048064,Sa
12.60382464,Sa
8.24921856,Sa
0.33732864,Sa
28.79559936,Sa
12.29716224,Sa
0.88932096,Sa
42.0127488,Sa
5.39725824,Sa
15.57844992,Sa
15.36378624,Sa
1.47197952,Sa
5.64258816,Sa
1.93197312,Sa
12.75715584,Sa
9.99719424,Sa
9.78253056,Sa
35.94083328,Sa
0.55199232,Sa
30.3595776,Sa
12.1131648,Sa
0.33732864,Sa
19.41172992,Sa
0.42932736,Sa
0.42932736,Sa
0.3066624,Sa
28.30493952,Sa
0.73598976,Sa
81.05087232,Sa
0.52132608,Sa
24.04233216,Sa
1.87064064,Sa
21.7730304,Sa
7.5132288,Sa
24.77832192,Sa
103.92788736,Sa
18.8597376,Sa
3.64928256,Sa
24.77832192,Sa
71.39100672,Sa
0.36799488,Sa
0.39866112,Sa
0.33732864,Sa
16.00777728,Sa
0.3066624,Sa
31.03423488,Sa
16.866432,Sa
5.6732544,Sa
0.98131968,Sa
76.0522752,Sa
23.49033984,Sa
23.82766848,Sa
4.93726464,Sa
12.48115968,Sa
16.31443968,Sa
11.22384384,Sa
0.39866112,Sa
0.85865472,Sa
6.31724544,Sa
4.47727104,Sa
0.49065984,Sa
45.32470272,Sa
24.74765568,Sa
6.899904,Sa
10.05852672,Sa
0.3066624,Sa
15.6397824,Sa
4.07860992,Sa
0.766656,Sa
0.3066624,Sa
23.73566976,Sa
5.61192192,Sa
24.9929856,Sa
0.3066624,Sa
31.86222336,Sa
15.11845632,Sa
16.03844352,Sa
12.02116608,Sa
0.36799488,Sa
10.70251776,Sa
9.0465408,Sa
1.71730944,Sa
42.50340864,Sa
24.96231936,Sa
14.81179392,Sa
31.5862272,Sa
7.8198912,Sa
46.52068608,Sa
13.09448448,Sa
0.70532352,Sa
40.69410048,Sa
6.71590656,Sa
13.76914176,Sa
9.69053184,Sa
9.23053824,Sa
1.59464448,Sa
0.36799488,Sa
12.45049344,Sa
181.88146944,Sa
0.36799488,Sa
6.86923776,Sa
1.65597696,Sa
44.89537536,Sa
54.46324224,Sa
9.29187072,Sa
14.2598016,Sa
21.95702784,Sa
0.36799488,Sa
15.82377984,Sa
14.44379904,Sa
7.23723264,Sa
70.90034688,Sa
6.80790528,Sa
83.04417792,Sa
38.76212736,Sa
2.48396544,Sa
9.01587456,Sa
34.62218496,Sa
3.89461248,Sa
120.39565824,Sa
33.54886656,Sa
18.00108288,Sa
30.9729024,Sa
0.4599936,Sa
12.8798208,Sa
2.05463808,Sa
17.7864192,Sa
15.08779008,Sa
31.7395584,Sa
39.95811072,Sa
4.53860352,Sa
29.34759168,Sa
13.92247296,Sa
50.9059584,Sa
48.9126528,Sa
0.33732864,Sa
12.4198272,Sa
0.33732864,Sa
3.34262016,Sa
0.70532352,Sa
1.0733184,Sa
0.49065984,Sa
2.51463168,Sa
4.2932736,Sa
2.88262656,Sa
0.36799488,Sa
0.73598976,Sa
