0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
10,29,8
186,293,9
1370,2392,10
5001,6918,11
11536,12617,12
19960,18750,13
26725,22668,14
32648,25397,15
42180,29222,16
49319,30101,17
52483,27590,18
51412,22658,19
48655,20920,20
45603,18654,21
39990,17308,22
34614,15603,23
29286,14346,24
24790,12957,25
22637,12064,26
19386,10623,27
16105,9600,28
13559,8334,29
10794,7189,30
9099,6104,31
7933,5433,32
6479,4882,33
5587,3774,34
5020,3357,35
4301,2657,36
4038,2386,37
3666,1927,38
3479,1290,39
3375,1132,40
3222,1000,41
2855,911,42
2520,583,43
2176,617,44
1739,382,45
1524,334,46
1264,137,47
1069,186,48
996,123,49
939,145,50
806,69,51
671,35,52
671,11,53
469,30,54
447,30,55
420,39,56
383,22,57
259,10,58
167,10,59
173,0,60
94,0,61
109,0,62
122,0,63
65,0,64
52,0,65
64,0,66
43,10,67
61,12,68
28,0,69
30,10,70
19,0,71
15,0,72
14,0,73
0,0,74
0,0,75
0,0,76
0,0,77
0,0,78
0,0,79
0,0,80
0,0,81
0,0,82
0,0,83
0,0,84
0,0,85
0,0,86
0,0,87
0,0,88
0,0,89
0,0,90
0,0,91
