"distance","meanCounts","normDensity","funcDensity","rawDensity","normPropOccup","source","timePoint","position"
0.5,22.7902,0.0279634674091681,0.0279634674091681,0.000718234297973399,0.505598896593104,"finalGG",0,0
1.5,45.8193638727746,0.0447663225224932,0.0447663225224932,0.00144399955440277,0.338833062993052,"finalGG",0,0
2.5,52.4734415714572,0.0433483627061735,0.0433483627061735,0.00165370314737579,0.232823881834924,"finalGG",0,0
3.5,51.5220706260032,0.0374640415124885,0.0374640415124885,0.00162372064423319,0.163287616473617,"finalGG",0,0
4.5,49.2897008632805,0.0333677514851763,0.0333677514851763,0.00155336739900734,0.121498706412204,"finalGG",0,0
5.5,50.932864321608,0.0331106080078875,0.0331106080078875,0.00160515177794862,0.102721983377749,"finalGG",0,0
6.5,49.4501911853492,0.0316194283540197,0.0316194283540197,0.00155842525957033,0.0843883710462276,"finalGG",0,0
7.5,45.308064516129,0.0285467877172474,0.0285467877172474,0.00142788592949055,0.0670104033784229,"finalGG",0,0
8.5,44.6267178658044,0.0275971675204526,0.0275971675204526,0.00140641325557489,0.0582376721044764,"finalGG",0,0
9.5,42.9473257698541,0.026373857615649,0.026373857615649,0.00135348712929882,0.0501464861416953,"finalGG",0,0
10.5,44.3768056968464,0.0280190734977947,0.0280190734977947,0.00139853726101466,0.0468807687068755,"finalGG",0,0
11.5,46.3702344546381,0.0300735343148169,0.0300735343148169,0.00146136026846579,0.0447269657381883,"finalGG",0,0
12.5,46.3158324821246,0.0296426770054629,0.0296426770054629,0.00145964578756888,0.04110053233013,"finalGG",0,0
13.5,48.1528062269562,0.0305151169163567,0.0305151169163567,0.00151753810742631,0.0395654235010867,"finalGG",0,0
14.5,51.2286885245902,0.0325660666383594,0.0325660666383594,0.00161447469256772,0.039189815695047,"finalGG",0,0
15.5,56.1950369155045,0.0360123853443681,0.0360123853443681,0.00177098941161537,0.0402155718013597,"finalGG",0,0
16.5,59.6520221720386,0.0383609796324239,0.0383609796324239,0.00187993647565303,0.0401022935559092,"finalGG",0,0
17.5,63.0516248457425,0.039826570491891,0.039826570491891,0.00198707512470992,0.0399655891572565,"finalGG",0,0
18.5,63.4302205730777,0.0398252934529124,0.0398252934529124,0.00199900658807743,0.038032290233338,"finalGG",0,0
19.5,68.9824561403509,0.0437176643873403,0.0437176643873403,0.00217398557092284,0.0392402736633352,"finalGG",0,0
20.5,69.725693007861,0.0450584581859064,0.0450584581859064,0.00219740871814244,0.0377282762840982,"finalGG",0,0
21.5,71.8747927031509,0.0469353945227669,0.0469353945227669,0.00226513770300968,0.0370822545345083,"finalGG",0,0
22.5,74.3936170212766,0.0490425639462875,0.0490425639462875,0.00234451857794045,0.0366759305700866,"finalGG",0,0
23.5,77.0806553245117,0.0519858957597555,0.0519858957597555,0.00242920072506297,0.0363835876831217,"finalGG",0,0
24.5,81.802244336227,0.0558931376330925,0.0558931376330925,0.00257800183997852,0.037036259655498,"finalGG",0,0
25.5,88.0081632653061,0.061649802167529,0.061649802167529,0.00277358168681211,0.0382834230245547,"finalGG",0,0
26.5,49.005284015852,0.0352081180540948,0.0352081180540948,0.00154440398777161,0.0205128036046332,"finalGG",0,0
0.5,5.89068246832857,0.0126742308772094,0.0126742308772094,0.000185645153935647,0.130684353633021,"finalRG",0,0
1.5,4.46526358806702,0.00760833075254706,0.00760833075254706,0.000140723006311551,0.0330205138337831,"finalRG",0,0
2.5,5.02901512055578,0.00555589478432642,0.00555589478432642,0.000158489664180656,0.0223136654869465,"finalRG",0,0
3.5,8.90968532897425,0.00985345627347431,0.00985345627347431,0.000280789180762772,0.028237244024193,"finalRG",0,0
4.5,12.3720882713527,0.0132289042667782,0.0132289042667782,0.000389906983442002,0.0304970956256461,"finalRG",0,0
5.5,16.053126277074,0.0181455626830579,0.0181455626830579,0.000505915081126649,0.0323761287050748,"finalRG",0,0
6.5,18.4796648273043,0.0204571474266743,0.0204571474266743,0.00058238756544579,0.0315361533469361,"finalRG",0,0
7.5,18.6546644844517,0.0197895636250336,0.0197895636250336,0.000587902688432725,0.0275901565282544,"finalRG",0,0
8.5,19.6182971756038,0.0219612463003836,0.0219612463003836,0.000618271621107024,0.0256017922177615,"finalRG",0,0
9.5,20.2092118730809,0.0230369292516089,0.0230369292516089,0.000636894327485407,0.0235968350755702,"finalRG",0,0
10.5,23.7629477993859,0.0264842581804248,0.0264842581804248,0.000748890493741628,0.0251037730653005,"finalRG",0,0
11.5,27.5437231210322,0.0303129660123586,0.0303129660123586,0.000868041817948426,0.0265676284544498,"finalRG",0,0
12.5,29.20708725932,0.0318895627042931,0.0318895627042931,0.000920462822333524,0.025918282579373,"finalRG",0,0
13.5,31.6328958162428,0.035908205101029,0.035908205101029,0.000996912300876905,0.0259916091626404,"finalRG",0,0
14.5,34.1436486763801,0.0399038616858932,0.0399038616858932,0.00107603880340367,0.0261198039091218,"finalRG",0,0
15.5,37.6290057518488,0.0447045375906701,0.0447045375906701,0.00118588000674045,0.026928925856969,"finalRG",0,0
16.5,40.4136513157895,0.0476750095028336,0.0476750095028336,0.00127363825158787,0.0271689047532679,"finalRG",0,0
17.5,43.2741869081927,0.0500583896725468,0.0500583896725468,0.00136378817449498,0.0274295607657752,"finalRG",0,0
18.5,42.9024138642459,0.0494481183537055,0.0494481183537055,0.00135207172833722,0.0257239694431763,"finalRG",0,0
19.5,47.2502071251036,0.0552754374495165,0.0552754374495165,0.00148909265138509,0.026878008728277,"finalRG",0,0
20.5,51.4958488999585,0.0605149162457142,0.0605149162457142,0.00162289426521952,0.0278641850797061,"finalRG",0,0
