"distance","meanCounts","normDensity","funcDensity","rawDensity","normPropOccup","source","timePoint","position"
25.5,75.774882629108,0.0605117679368749,0.0605117679368749,0.00238804923296567,0.0329619637394444,"finalGG",0,0
26.5,43.0031607099441,0.0353316367269019,0.0353316367269019,0.00135524677024089,0.01800041378673,"finalGG",0,0
0.5,8.61543098251959,0.0148574122795175,0.0148574122795175,0.000271515740250995,0.191132697318845,"finalRG",0,0
1.5,6.54912597950573,0.00949122196902088,0.00949122196902088,0.000206396034270417,0.0484306246966872,"finalRG",0,0
2.5,6.92679002413516,0.00678335128553864,0.00678335128553864,0.000218298135610651,0.0307340645815733,"finalRG",0,0
3.5,11.3301810865191,0.0104259567446039,0.0104259567446039,0.000357071226166841,0.0359084610023113,"finalRG",0,0
4.5,14.7313883299799,0.0135408049638148,0.0135408049638148,0.000464260443320226,0.0363127508262438,"finalRG",0,0
5.5,18.384708249497,0.0169522182509006,0.0169522182509006,0.000579395004125599,0.0370784898976985,"finalRG",0,0
6.5,21.1647887323944,0.0194421553343006,0.0194421553343006,0.000667009380214591,0.0361184052447805,"finalRG",0,0
7.5,22.5760563380282,0.0208253490463961,0.0208253490463961,0.000711485549707838,0.0333898756890558,"finalRG",0,0
8.5,25.9887323943662,0.023803011660501,0.023803011660501,0.000819036207075241,0.0339151823834626,"finalRG",0,0
9.5,28.9061996779388,0.0266268278897219,0.0266268278897219,0.000910980335089788,0.0337516787267884,"finalRG",0,0
10.5,33.2214170692432,0.031238522475958,0.031238522475958,0.00104697462797208,0.0350959368364026,"finalRG",0,0
11.5,36.326690821256,0.034562481271868,0.034562481271868,0.00114483748627487,0.0350393452794277,"finalRG",0,0
12.5,38.320314072881,0.0368365100452331,0.0368365100452331,0.00120766662320892,0.0340053330156819,"finalRG",0,0
13.5,42.2283068250453,0.040747993691744,0.040747993691744,0.00133082721112986,0.0346974761012254,"finalRG",0,0
14.5,44.7666599557077,0.0431542595883619,0.0431542595883619,0.00141082353756885,0.0342463803676118,"finalRG",0,0
15.5,47.0503321924703,0.0446156710053994,0.0446156710053994,0.00148279358284149,0.0336712299950827,"finalRG",0,0
