counts,plate,total counts,CFU,culture,bug,timePoint,antibiotic
103,5,10300000,34333333.33,mono,Sa,0,Control
85,5,8500000,28333333.33,wt,Sa,0,Control
76,5,7600000,25333333.33,mut,Sa,0,Control
116,5,11600000,38666666.67,wt,Pa,0,Control
100,5,10000000,33333333.33,mut,Pa,0,Control
103,5,10300000,34333333.33,mono,Sa,0,TOB
85,5,8500000,28333333.33,wt,Sa,0,TOB
76,5,7600000,25333333.33,mut,Sa,0,TOB
116,5,11600000,38666666.67,wt,Pa,0,TOB
100,5,10000000,33333333.33,mut,Pa,0,TOB
59,6,59000000,393333333.3,mono,Sa,3,Control
33,6,33000000,220000000,wt,Sa,3,Control
72,6,72000000,480000000,mut,Sa,3,Control
214,5,21400000,142666666.7,wt,Pa,3,Control
211,5,21100000,140666666.7,mut,Pa,3,Control
45,6,45000000,300000000,mono,Sa,3,TOB
223,5,22300000,148666666.7,wt,Sa,3,TOB
215,5,21500000,143333333.3,mut,Sa,3,TOB
60,5,6000000,40000000,wt,Pa,3,TOB
75,5,7500000,50000000,mut,Pa,3,TOB
137,6,137000000,913333333.3,mono,Sa,4,Control
33,6,33000000,220000000,wt,Sa,4,Control
43,6,43000000,286666666.7,mut,Sa,4,Control
35,6,35000000,233333333.3,wt,Pa,4,Control
280,5,28000000,186666666.7,mut,Pa,4,Control
60,5,6000000,40000000,mono,Sa,4,TOB
125,5,12500000,83333333.33,wt,Sa,4,TOB
70,4,700000,4666666.667,mut,Sa,4,TOB
119,4,1190000,7933333.333,wt,Pa,4,TOB
219,4,2190000,14600000,mut,Pa,4,TOB
136,6,136000000,906666666.7,mono,Sa,5,Control
52,6,52000000,346666666.7,wt,Sa,5,Control
88,6,88000000,586666666.7,mut,Sa,5,Control
96,6,96000000,640000000,wt,Pa,5,Control
78,6,78000000,520000000,mut,Pa,5,Control
42,4,420000,2800000,mono,Sa,5,TOB
53,4,530000,3533333.333,wt,Sa,5,TOB
166,3,166000,1106666.667,mut,Sa,5,TOB
81,4,810000,5400000,wt,Pa,5,TOB
25,5,2500000,16666666.67,mut,Pa,5,TOB
