counts,plate,total counts,CFU,culture,bug,timePoint,antibiotic
47,5,4700000,15666666.67,mono,Sa,0,Control
41,5,4100000,13666666.67,wt,Sa,0,Control
57,5,5700000,19000000,mut,Sa,0,Control
96,5,9600000,32000000,wt,Pa,0,Control
56,5,5600000,18666666.67,mut,Pa,0,Control
47,5,4700000,15666666.67,mono,Sa,0,TOB
41,5,4100000,13666666.67,wt,Sa,0,TOB
57,5,5700000,19000000,mut,Sa,0,TOB
96,5,9600000,32000000,wt,Pa,0,TOB
56,5,5600000,18666666.67,mut,Pa,0,TOB
63,6,63000000,420000000,mono,Sa,3,Control
325,5,32500000,216666666.7,wt,Sa,3,Control
32,6,32000000,213333333.3,mut,Sa,3,Control
223,5,22300000,148666666.7,wt,Pa,3,Control
199,5,19900000,132666666.7,mut,Pa,3,Control
251,4,2510000,16733333.33,mono,Sa,3,TOB
45,5,4500000,30000000,wt,Sa,3,TOB
100,4,1000000,6666666.667,mut,Sa,3,TOB
138,4,1380000,9200000,wt,Pa,3,TOB
113,4,1130000,7533333.333,mut,Pa,3,TOB
60,6,60000000,400000000,mono,Sa,4,Control
39,6,39000000,260000000,wt,Sa,4,Control
58,6,58000000,386666666.7,mut,Sa,4,Control
47,6,47000000,313333333.3,wt,Pa,4,Control
44,6,44000000,293333333.3,mut,Pa,4,Control
127,2,12700,84666.66667,mono,Sa,4,TOB
6,2,600,4000,wt,Sa,4,TOB
4,2,400,2666.666667,mut,Sa,4,TOB
7,4,70000,466666.6667,wt,Pa,4,TOB
13,4,130000,866666.6667,mut,Pa,4,TOB
92,6,92000000,613333333.3,mono,Sa,5,Control
91,6,91000000,606666666.7,wt,Sa,5,Control
54,6,54000000,360000000,mut,Sa,5,Control
52,6,52000000,346666666.7,wt,Pa,5,Control
37,6,37000000,246666666.7,mut,Pa,5,Control
121,3,121000,806666.6667,mono,Sa,5,TOB
5,2,500,3333.333333,wt,Sa,5,TOB
6,2,600,4000,mut,Sa,5,TOB
42,4,420000,2800000,wt,Pa,5,TOB
107,3,107000,713333.3333,mut,Pa,5,TOB
