counts,plate,total counts,CFU,culture,bug,timePoint,antibiotic
190,4,1900000,6333333.333,mono,Sa,0,Control
121,4,1210000,4033333.333,wt,Sa,0,Control
161,4,1610000,5366666.667,mut,Sa,0,Control
196,4,1960000,6533333.333,wt,Pa,0,Control
52,4,520000,1733333.333,mut,Pa,0,Control
190,4,1900000,6333333.333,mono,Sa,0,TOB
121,4,1210000,4033333.333,wt,Sa,0,TOB
161,4,1610000,5366666.667,mut,Sa,0,TOB
196,4,1960000,6533333.333,wt,Pa,0,TOB
52,4,520000,1733333.333,mut,Pa,0,TOB
180,5,18000000,120000000,mono,Sa,3,Control
116,5,11600000,77333333.33,wt,Sa,3,Control
163,5,16300000,108666666.7,mut,Sa,3,Control
230,5,23000000,153333333.3,wt,Pa,3,Control
78,5,7800000,52000000,mut,Pa,3,Control
42,5,4200000,28000000,wt,Sa,3,TOB
30,4,300000,2000000,mut,Sa,3,TOB
50,4,500000,3333333.333,wt,Pa,3,TOB
153,3,153000,1020000,mut,Pa,3,TOB
323,5,32300000,215333333.3,mono,Sa,4,Control
162,5,16200000,108000000,wt,Sa,4,Control
152,5,15200000,101333333.3,mut,Sa,4,Control
46,6,46000000,306666666.7,wt,Pa,4,Control
88,5,8800000,58666666.67,mut,Pa,4,Control
20,3,20000,133333.3333,mono,Sa,4,TOB
80,3,80000,533333.3333,wt,Sa,4,TOB
1,3,1000,1000,mut,Sa,4,TOB
77,4,770000,5133333.333,wt,Pa,4,TOB
1,3,1000,1000,mut,Pa,4,TOB
42,6,42000000,280000000,mono,Sa,5,Control
252,5,25200000,168000000,wt,Sa,5,Control
33,6,33000000,220000000,mut,Sa,5,Control
67,6,67000000,446666666.7,wt,Pa,5,Control
46,6,46000000,306666666.7,mut,Pa,5,Control
1,3,1000,1000,mono,Sa,5,TOB
1,3,1000,1000,wt,Sa,5,TOB
1,3,1000,1000,mut,Sa,5,TOB
1,3,1000,1000,wt,Pa,5,TOB
1,3,1000,1000,mut,Pa,5,TOB
