counts,plate,total counts,CFU,culture,bug,timePoint,antibiotic
60,5,6000000,20000000,mono,Sa,0,Control
48,5,4800000,16000000,wt,Sa,0,Control
71,5,7100000,23666666.67,mut,Sa,0,Control
147,5,14700000,49000000,wt,Pa,0,Control
152,5,15200000,50666666.67,mut,Pa,0,Control
60,5,6000000,20000000,mono,Sa,0,TOB
48,5,4800000,16000000,wt,Sa,0,TOB
71,5,7100000,23666666.67,mut,Sa,0,TOB
147,5,14700000,49000000,wt,Pa,0,TOB
152,5,15200000,50666666.67,mut,Pa,0,TOB
58,6,58000000,386666666.7,mono,Sa,3,Control
182,5,18200000,121333333.3,wt,Sa,3,Control
224,5,22400000,149333333.3,mut,Sa,3,Control
90,5,9000000,60000000,mono,Sa,3,TOB
275,5,27500000,183333333.3,wt,Sa,3,TOB
47,5,4700000,31333333.33,mut,Sa,3,TOB
36,5,3600000,24000000,wt,Pa,3,TOB
82,5,8200000,54666666.67,mut,Pa,3,TOB
92,6,92000000,613333333.3,mono,Sa,4,Control
189,5,18900000,126000000,wt,Sa,4,Control
308,5,30800000,205333333.3,mut,Sa,4,Control
116,6,116000000,773333333.3,wt,Pa,4,Control
62,6,62000000,413333333.3,mut,Pa,4,Control
37,6,37000000,246666666.7,mono,Sa,4,TOB
183,5,18300000,122000000,wt,Sa,4,TOB
129,5,12900000,86000000,mut,Sa,4,TOB
54,5,5400000,36000000,wt,Pa,4,TOB
62,5,6200000,41333333.33,mut,Pa,4,TOB
112,6,112000000,746666666.7,mono,Sa,5,Control
46,6,46000000,306666666.7,wt,Sa,5,Control
46,6,46000000,306666666.7,mut,Sa,5,Control
107,6,107000000,713333333.3,wt,Pa,5,Control
152,6,152000000,1013333333,mut,Pa,5,Control
593,5,59300000,395333333.3,mono,Sa,5,TOB
81,5,8100000,54000000,wt,Sa,5,TOB
153,5,15300000,102000000,mut,Sa,5,TOB
136,5,13600000,90666666.67,mut,Pa,5,TOB
