counts,plate,total counts,CFU,culture,bug,timePoint,antibiotic
37,5,3700000,12333333.33,mono,Sa,0,Control
38,5,3800000,12666666.67,wt,Sa,0,Control
67,5,6700000,22333333.33,mut,Sa,0,Control
109,5,10900000,36333333.33,wt,Pa,0,Control
122,5,12200000,40666666.67,mut,Pa,0,Control
37,5,3700000,12333333.33,mono,Sa,0,TOB
38,5,3800000,12666666.67,wt,Sa,0,TOB
67,5,6700000,22333333.33,mut,Sa,0,TOB
109,5,10900000,36333333.33,wt,Pa,0,TOB
122,5,12200000,40666666.67,mut,Pa,0,TOB
41,6,41000000,273333333.3,mono,Sa,3,Control
308,5,30800000,205333333.3,wt,Sa,3,Control
267,5,26700000,178000000,mut,Sa,3,Control
40,6,40000000,266666666.7,wt,Pa,3,Control
298,5,29800000,198666666.7,mut,Pa,3,Control
41,5,4100000,27333333.33,mono,Sa,3,TOB
65,5,6500000,43333333.33,wt,Sa,3,TOB
5,5,500000,3333333.333,mut,Sa,3,TOB
21,5,2100000,14000000,wt,Pa,3,TOB
24,5,2400000,16000000,mut,Pa,3,TOB
81,6,81000000,540000000,mono,Sa,4,Control
48,6,48000000,320000000,wt,Sa,4,Control
51,6,51000000,340000000,mut,Sa,4,Control
71,6,71000000,473333333.3,wt,Pa,4,Control
55,6,55000000,366666666.7,mut,Pa,4,Control
89,3,89000,593333.3333,mono,Sa,4,TOB
32,3,32000,213333.3333,wt,Sa,4,TOB
1,3,1000,6666.666667,mut,Sa,4,TOB
10,5,1000000,6666666.667,wt,Pa,4,TOB
7,5,700000,4666666.667,mut,Pa,4,TOB
80,6,80000000,533333333.3,mono,Sa,5,Control
57,6,57000000,380000000,wt,Sa,5,Control
49,6,49000000,326666666.7,mut,Sa,5,Control
111,6,111000000,740000000,wt,Pa,5,Control
74,6,74000000,493333333.3,mut,Pa,5,Control
58,4,580000,3866666.667,mono,Sa,5,TOB
1,3,1000,6666.666667,wt,Sa,5,TOB
1,3,1000,6666.666667,mut,Sa,5,TOB
4,5,400000,2666666.667,wt,Pa,5,TOB
4,5,400000,2666666.667,mut,Pa,5,TOB
