counts,plate,total counts,CFU,culture,bug,timePoint,antibiotic
337,4,33700000,112333333.3,mono,Sa,0,Control
354,4,35400000,118000000,wt,Sa,0,Control
303,4,30300000,101000000,mut,Sa,0,Control
337,4,33700000,112333333.3,mono,Sa,0,TOB
354,4,35400000,118000000,wt,Sa,0,TOB
303,4,30300000,101000000,mut,Sa,0,TOB
337,4,33700000,112333333.3,mono,Sa,0,TOB SO4
354,4,35400000,118000000,wt,Sa,0,TOB SO4
303,4,30300000,101000000,mut,Sa,0,TOB SO4
95,5,95000000,316666666.7,mono,Sa,5,Control
172,5,172000000,573333333.3,wt,Sa,5,Control
162,5,162000000,540000000,mut,Sa,5,Control
115,5,115000000,383333333.3,mono,Sa,5,Control
166,5,166000000,553333333.3,wt,Sa,5,Control
190,5,190000000,633333333.3,mut,Sa,5,Control
279,4,27900000,93000000,mono,Sa,5,TOB
179,3,1790000,5966666.667,wt,Sa,5,TOB
36,3,360000,1200000,mut,Sa,5,TOB
533,4,53300000,177666666.7,mono,Sa,5,TOB SO4
128,4,12800000,42666666.67,wt,Sa,5,TOB SO4
69,4,6900000,23000000,mut,Sa,5,TOB SO4
