counts,plate,total counts,CFU,culture,bug,timePoint,antibiotic
167,4,16700000,55666666.67,mono,Sa,0,Control
120,4,12000000,40000000,wt,Sa,0,Control
118,4,11800000,39333333.33,mut,Sa,0,Control
167,4,16700000,55666666.67,mono,Sa,0,TOB
120,4,12000000,40000000,wt,Sa,0,TOB
118,4,11800000,39333333.33,mut,Sa,0,TOB
167,4,16700000,55666666.67,mono,Sa,0,TOB SO4
120,4,12000000,40000000,wt,Sa,0,TOB SO4
118,4,11800000,39333333.33,mut,Sa,0,TOB SO4
72,5,72000000,240000000,mono,Sa,5,Control
303,4,30300000,101000000,wt,Sa,5,Control
30,5,30000000,100000000,mut,Sa,5,Control
67,5,67000000,223333333.3,mono,Sa,5,Control
37,5,37000000,123333333.3,wt,Sa,5,Control
59,5,59000000,196666666.7,mut,Sa,5,Control
55,3,550000,1833333.333,mono,Sa,5,TOB
63,1,6300,21000,wt,Sa,5,TOB
4,1,400,1333.333333,mut,Sa,5,TOB
79,4,7900000,26333333.33,mono,Sa,5,TOB SO4
60,2,60000,200000,wt,Sa,5,TOB SO4
89,1,8900,29666.66667,mut,Sa,5,TOB SO4
