"distance","meanCounts","normDensity","funcDensity","rawDensity","normPropOccup","source","timePoint","position"
0.5,17.4566,0.0742775406931543,0.0742775406931543,0.000550145626014798,0.387273376199734,"finalGG",0,2
1.5,15.3562801932367,0.0505730226521767,0.0505730226521767,0.000483953941785162,0.113559312357578,"finalGG",0,2
2.5,11.2083839611179,0.031887284788664,0.031887284788664,0.000353232783640766,0.0497314333646307,"finalGG",0,2
3.5,9.31602434077079,0.0237732916160425,0.0237732916160425,0.0002935949751339,0.0295250441438376,"finalGG",0,2
4.5,9.00040650406504,0.022651021426126,0.022651021426126,0.000283648263153565,0.0221859278566356,"finalGG",0,2
5.5,10.0356488083113,0.0231640867434612,0.0231640867434612,0.000316273976382174,0.0202400113129889,"finalGG",0,2
6.5,10.4228489679133,0.0227084453291908,0.0227084453291908,0.000328476608864863,0.0177869331741564,"finalGG",0,2
7.5,11.05670419652,0.0227956812429147,0.0227956812429147,0.000348452588239114,0.0163528108330681,"finalGG",0,2
8.5,11.9657576378921,0.0239879045222444,0.0239879045222444,0.000377101453114554,0.0156152615097686,"finalGG",0,2
9.5,12.4373076133798,0.0245218687634453,0.0245218687634453,0.00039196237428259,0.0145221445734844,"finalGG",0,2
10.5,13.5769784172662,0.026582073650265,0.026582073650265,0.000427879156923817,0.0143430599594357,"finalGG",0,2
11.5,15.467202970297,0.0290455962728448,0.0290455962728448,0.000487449678676947,0.0149190761154084,"finalGG",0,2
12.5,15.7416287722199,0.0296187430080208,0.0296187430080208,0.000496098221611624,0.0139690746686078,"finalGG",0,2
13.5,15.9675284384695,0.0308980635602759,0.0308980635602759,0.000503217460942617,0.0131199420020515,"finalGG",0,2
14.5,17.6183965195774,0.0333727015887866,0.0333727015887866,0.000555244651457892,0.013478028275369,"finalGG",0,2
15.5,19.8095634095634,0.038229675043603,0.038229675043603,0.000624299386079425,0.0141765708037303,"finalGG",0,2
