"distance","meanCounts","normDensity","funcDensity","rawDensity","normPropOccup","source","timePoint","position"
0.5,17.4962,0.0557750923533794,0.0557750923533794,0.000551393622004291,0.388151899262501,"finalGG",0,2
1.5,15.6703495379671,0.0374701699424769,0.0374701699424769,0.000493851852963096,0.115881847396752,"finalGG",0,2
2.5,13.0719351570415,0.0254870803651781,0.0254870803651781,0.000411962693204602,0.057999982376081,"finalGG",0,2
3.5,12.3950040617384,0.0209181696932924,0.0209181696932924,0.000390629175727292,0.0392831779629715,"finalGG",0,2
4.5,12.8113821138211,0.0204045364596794,0.0204045364596794,0.000403751350957398,0.0315799513269378,"finalGG",0,2
5.5,14.7662258392675,0.0225473539461047,0.0225473539461047,0.000465358349175654,0.0297806931814323,"finalGG",0,2
6.5,16.1518057539278,0.0230807117001704,0.0230807117001704,0.000509024969797326,0.0275635855869629,"finalGG",0,2
7.5,16.7080082135524,0.0221553781536116,0.0221553781536116,0.000526553718255854,0.0247110615294895,"finalGG",0,2
8.5,18.0133717342111,0.023114938372657,0.023114938372657,0.000567692315190519,0.0235073715191786,"finalGG",0,2
9.5,18.9537858469156,0.0240205435021852,0.0240205435021852,0.00059732951319855,0.0221309649033415,"finalGG",0,2
10.5,20.8315767720603,0.0259553465341925,0.0259553465341925,0.000656508188544187,0.0220069993122529,"finalGG",0,2
11.5,24.3296066252588,0.0300260017937059,0.0300260017937059,0.000766748775107797,0.0234674138431643,"finalGG",0,2
12.5,26.0263376192451,0.030843654579009,0.030843654579009,0.000820221337626576,0.0230956947857411,"finalGG",0,2
13.5,28.9736021617127,0.0336416435444134,0.0336416435444134,0.000913104527752206,0.0238065635152626,"finalGG",0,2
14.5,29.8538157621127,0.0353898311393486,0.0353898311393486,0.0009408445035905,0.0228380927016997,"finalGG",0,2
15.5,32.0872734846907,0.0382142029383542,0.0382142029383542,0.00101123203592585,0.0229630252343052,"finalGG",0,2
16.5,33.8801334167188,0.0404673909220195,0.0404673909220195,0.00106773410675651,0.0227766135416528,"finalGG",0,2
17.5,35.7784982221293,0.0426663235132248,0.0426663235132248,0.00112756116897234,0.0226783808364584,"finalGG",0,2
18.5,36.7209886887306,0.0442667234105563,0.0442667234105563,0.00115726380337775,0.0220176327127213,"finalGG",0,2
19.5,40.9955919395466,0.0504966583044495,0.0504966583044495,0.00129197813958211,0.0233201068315867,"finalGG",0,2
20.5,42.3284210526316,0.0522634558790694,0.0522634558790694,0.00133398231604195,0.0229037288157649,"finalGG",0,2
21.5,43.6380147835269,0.0532815736014212,0.0532815736014212,0.00137525422826475,0.0225140958425671,"finalGG",0,2
22.5,46.6741071428571,0.0571878928688391,0.0571878928688391,0.00147093683150149,0.0230102578894992,"finalGG",0,2
23.5,49.2270096463022,0.061231999604882,0.061231999604882,0.00155139168215468,0.0232361182491732,"finalGG",0,2
24.5,53.3942161339422,0.0652499331089992,0.0652499331089992,0.00168272140397197,0.0241744229499422,"finalGG",0,2
25.5,58.1614906832298,0.0719490295967043,0.0719490295967043,0.00183296230089933,0.0253001638592603,"finalGG",0,2
