aggregateSizeList1,aggregateSizeList2
0.33732864,Sa
1909.2801024,Sa
12.32782848,Sa
0.3066624,Sa
20.94504192,Sa
0.3066624,Sa
24.19566336,Sa
11.25451008,Sa
8.03455488,Sa
0.3066624,Sa
0.3066624,Sa
1.9933056,Sa
288.8759808,Sa
0.39866112,Sa
307.5823872,Sa
4881.97340928,Sa
33.33420288,Sa
12.4198272,Sa
9.199872,Sa
64.15377408,Sa
989.66089728,Sa
40.29543936,Sa
11.3465088,Sa
51.45795072,Sa
7.23723264,Sa
11.49984,Sa
317.05825536,Sa
6.65457408,Sa
46435.09660416,Sa
0.3066624,Sa
8.1265536,Sa
22.81568256,Sa
0.3066624,Sa
36.43149312,Sa
334.5686784,Sa
22.60101888,Sa
1.90130688,Sa
0.33732864,Sa
3.15862272,Sa
5.73458688,Sa
0.3066624,Sa
10.1198592,Sa
0.36799488,Sa
243.39794688,Sa
35.1128448,Sa
16.65176832,Sa
77.21759232,Sa
2.08530432,Sa
0.36799488,Sa
89.51475456,Sa
0.3066624,Sa
4.66126848,Sa
35.20484352,Sa
11.62250496,Sa
20.699712,Sa
5.76525312,Sa
0.42932736,Sa
4.50793728,Sa
28.24360704,Sa
7.32923136,Sa
0.3066624,Sa
3.77194752,Sa
6.68524032,Sa
4.26260736,Sa
15.21045504,Sa
10.51852032,Sa
249.50052864,Sa
2.02397184,Sa
96.07732992,Sa
5.09059584,Sa
8.00388864,Sa
21.55836672,Sa
9.41453568,Sa
9.0465408,Sa
44.43538176,Sa
0.3066624,Sa
0.49065984,Sa
7.60522752,Sa
57.37653504,Sa
17.20376064,Sa
3.31195392,Sa
0.33732864,Sa
19.13573376,Sa
13.67714304,Sa
5.64258816,Sa
2.23863552,Sa
0.3066624,Sa
3.03595776,Sa
2.66796288,Sa
97.2119808,Sa
0.42932736,Sa
4.47727104,Sa
2.85196032,Sa
2.23863552,Sa
0.42932736,Sa
3.6799488,Sa
16.099776,Sa
65.7790848,Sa
45.20203776,Sa
33.21153792,Sa
17.20376064,Sa
199.6372224,Sa
58.17385728,Sa
2.82129408,Sa
0.9199872,Sa
13.15581696,Sa
43.2393984,Sa
53.63525376,Sa
3.92527872,Sa
8.34121728,Sa
0.3066624,Sa
2.17730304,Sa
1.41064704,Sa
1.533312,Sa
152.4112128,Sa
2.11597056,Sa
1.3799808,Sa
0.42932736,Sa
105.09320448,Sa
1.13465088,Sa
0.67465728,Sa
0.42932736,Sa
0.64399104,Sa
23.21434368,Sa
23.21434368,Sa
0.95065344,Sa
0.79732224,Sa
8.95454208,Sa
0.3066624,Sa
9.199872,Sa
9.78253056,Sa
151.85922048,Sa
3.92527872,Sa
10.4265216,Sa
0.95065344,Sa
0.36799488,Sa
13.27848192,Sa
10.39585536,Sa
1.3799808,Sa
33.54886656,Sa
7.69722624,Sa
3.15862272,Sa
1.31864832,Sa
30.45157632,Sa
37.44347904,Sa
0.766656,Sa
2.57596416,Sa
7.8198912,Sa
106.28918784,Sa
22.87701504,Sa
19.22773248,Sa
1.77864192,Sa
12.78782208,Sa
86.57079552,Sa
3.5266176,Sa
1.47197952,Sa
286.82134272,Sa
1.59464448,Sa
0.95065344,Sa
7.2065664,Sa
16.95843072,Sa
0.67465728,Sa
7.26789888,Sa
151.42989312,Sa
9.3532032,Sa
